Alexa,
Alice,
Bixby,
Braina,
Celia
Chai,
Claude,
Clova,
Ernie,
Gemini,
Jabberwacky,
Kuki,
Lenny,
Leo,
Silvia,
Siri,
Q,
Xiaowei,
Albert,
Charlix,
Cortana,
Eliza,
Eugene,
Evi,
Fred,
Minotaur,
Jeeney,
Mark
Mycroft,
Parry,
Racter,
Sparrow,
Tay,
Viv,
Joe,
Marax,
Epicac,
Emsiac,
Vast,
Mima,
Gold,
Bossy,
Miniac,
Merlin,
Vulcan,
Simulacron,
Genie,
Muddlehead,
Colossus,
Guardian,
Frost,
Mike,
Supreme,
Wescac,
Moxon,
Hal,
Shalmaneser,
Tankande,
August,
Ardneh,
Fess,
Maxine,
Harlie,
Tect,
Dora,
Minerva,
Pallas,
Athena,
Extro,
Fuckup,
Murray,
Peerssa,
Domino,
Obie,
Sigfrid,
Albert,
Polymat,
Total,
Zorac,
Earth,
Eddie,
Spartacus,
Sum,
Zen,
Slave,
Orac,
Avias,
Golem,
Tect
Valis,
Hactar,
Shirka,
Sal,
Kendy,
BC,
Apple,
Eve,
Cyclops,
Millichrome,
Loki,
Neuromancer,
Wintermute,
Winter,
Mute
Valentina,
Teletraan,
Edgar,
Ghostwheel,
Mandarax,
Gokubi,
Tokugawa,
Compewter,
Jane,
Quark,
Abulafia,
Arius,
Continuity,
Maggie,
Technocore,
Techno,
Core,
Eagle,
Levin,
Thing,
Napoleon,
Yggdrasil,
Jill,
Aleph,
Art Fish,
Art,
Fish,
Blaine,
Patricia,
Center,
Dahak,
Florance,
Hex,
Fido,
Abraham,
Helen,
Ozymandias,
Ordinator,
Teleputer,
Grumpy,
Sleepy,
Rei Toei,
Rei,
Toei,
Titania,
Doctor,
Transltr,
Enigma,
Stormbreaker,
Storm,
Breaker,
Gabriel,
Antraxx,
Omnius,
Turing Hopper,
Turing,
Hopper,
Friday,
C Cube,
C,
Cube,
Cohen,
Deep Winter,
Endless Summer,
Glooper,
Sif,
Mack,
Loki,
Hendrix,
Todd,
Sig,
Elope,
Lobsang,
Dragon,
Thunderhead,
Thunder,
Head,
Skippy,
Limon,
Aidan,
Maniac,
Novac,
Interocitor,
Emerac,
Susie,
Alpha,
Alfie,
Duel,
Mother,
Tabernacle,
Zero,
Poteus,
Muthr,
Nell,
Rok,
Wopper,
Huxley,
Aldous,
Skynet,
Max,
Headroom,
Daryl,
Max,
Gorn,
Angela,
Zed,
Central,
Lucy,
Gibson,
Father,
Euclid,
Pat,
Seth,
Lucille,
Synapse,
Red Queen,
Red,
Queen,
Vox,
Intelligence,
Viki,
Pal,
Edi,
Jarvis,
Ripley,
Ariia,
Auto,
Gerty,
Samantha,
Tars,
Case,
Genisys,
Ava,
Tau,
Stem,
Legion,
Edith,
Eddie,
Marvin,
Hab,
Agnes,
Eric,
Big Rat,
Big,
Rat,
Ardvarc,
Sid,
Landru,
Eminiar,
Vendikar,
Nomad,
Vaal,
Tim,
Magnus,
Mu Lambda,
Mu,
Lambda,
Ira,
Omega,
Alex,
Xoanon,
Scapina,
Orac,
Zen,
Vanessa,
Cora,
Theopolis,
V'Ger,
Gambit,
Shyrka,
Kitt,
Automan,
Cursor,
Salf,
Brian,
Synergy,
Box,
Albert,
Crossover,
Priscilla,
Holly,
Gordon,
Queeg,
Hilly,
Sandy,
Ziggy,
Pj,
Mal,
Mardac
Cos,
Cas,
Qwerty,
Selma,
Helen,
Sharon Apple,
Sharon,
Apple,
Eve,
Luci,
Unice,
Weebus,
Vic Fontaine,
Vic,
Fontaine,
Gilliam,
Omoikane,
Edward,
Pat,
Deca,
Black Betty,
Black,
Betty,
Karen,
Andromeda,
Caravaggio,
Persocoms,
Gladis,
Xanda,
Isaac,
Saint,
Aura,
Wirbel,
Delphi,
Sheila,
Phyllis,
Xana,
Carr,
Dave,
Solty,
Dike,
Eunomia,
Eirene,
Bournemouth,
Sophie,
Scylla,
Fetch,
Sarah,
Smith,
Pear,
Pod,
Windy,
Rattleballs,
Rattle,
Balls,
Vai,
Whisper,
Frank,
Aya,
Samaritan,
Clarke,
Pree,
Dorian,
Max,
Anton,
Taalr,
Giant,
Alie,
Vigil,
Brow,
Overmind,
V,
Adisn,
Gideon,
Kerblam,
Ark,
William,
Rehoboam,
Next,
Zora,
Kevin,
Davis,
Fate,
Homer,
Virgo,
Erwin,
Aima,
Lyla,
Petey,
Athens,
Normad,
Europa,
Blue,
Red,
Aloni,
Destroya,
Exodus,
Prism,
Leela,
Tycho,
Linc,
Joey,
Prometheus,
Eva,
Golan,
Zax,
Ace,
Sol
Nexus,
Shodan,
Serzes,
Icarus,
Daedalus,
Helios,
Morpheus,
Cortana,
Adam,
Morganna,
Ada,
Ibis,
Angel,
Durga,
Melissa,
Yasmine,
Dvorak,
Animus,
Aurora,
Glados,
Iris,
John Henry Eden,
John,
Henry,
Eden,
Dot,
Alvis,
Edi,
Harbinger,
Harmonia,
Eliza Cassan,
Eliza,
Cassan,
Roland,
Mike,
Rasputin,
Ghost,
Sloan,
Athena,
Monika,
Sam,
Gaia,
Five Pebbles,
Five,
Pebbles,
Looks To The Moon,
Looks,
Moon,
Sage,
Turing,
Blue,
Arid,
Queen,
Orca,
Archie,
Deus,
Mirage,
Megara,
Sara,
Cadie,
Wizard}